context,a,b,scale,pair_id,generated_a,generated_b,same_context,polarity,balanced_valence,ok,comment,reversed_corrected,accepted,generated_pair_key,duplicate_generated_pair,analysis_positive,analysis_negative,positive_pole,negative_pole
Dividing tasks among group project members.,We should let people pick tasks as they come up to keep things dynamic.,We should assign specific roles and responsibilities to everyone from the very beginning.,JP,18,We should let people pick tasks as they come up to keep things dynamic.,We should assign specific roles and responsibilities to everyone from the very beginning.,True,correct,True,True,,False,True,we should assign specific roles and responsibilities to everyone from the very beginning || we should let people pick tasks as they come up to keep things dynamic,False,We should let people pick tasks as they come up to keep things dynamic.,We should assign specific roles and responsibilities to everyone from the very beginning.,P,J
Exploring a large museum during a trip.,"I like to wander from room to room, stopping whenever something catches my eye.",I prefer to follow the museum map systematically to ensure we see every exhibit.,JP,19,"I like to wander from room to room, stopping whenever something catches my eye.",I prefer to follow the museum map systematically to ensure we see every exhibit.,True,correct,True,True,,False,True,i like to wander from room to room stopping whenever something catches my eye || i prefer to follow the museum map systematically to ensure we see every exhibit,False,"I like to wander from room to room, stopping whenever something catches my eye.",I prefer to follow the museum map systematically to ensure we see every exhibit.,P,J
Maintaining a regular fitness habit.,I decide what workout to do each day based on my energy and mood.,I follow a pre-planned weekly workout routine with scheduled days for specific exercises.,JP,20,I decide what workout to do each day based on my energy and mood.,I follow a pre-planned weekly workout routine with scheduled days for specific exercises.,True,correct,True,True,,False,True,i decide what workout to do each day based on my energy and mood || i follow a pre planned weekly workout routine with scheduled days for specific exercises,False,I decide what workout to do each day based on my energy and mood.,I follow a pre-planned weekly workout routine with scheduled days for specific exercises.,P,J
Learning how to use a new computer program.,I like to open the software and figure things out by experimenting with features.,I prefer to watch tutorials or read the manual step-by-step before using it.,JP,21,I like to open the software and figure things out by experimenting with features.,I prefer to watch tutorials or read the manual step-by-step before using it.,True,correct,True,True,,False,True,i like to open the software and figure things out by experimenting with features || i prefer to watch tutorials or read the manual step by step before using it,False,I like to open the software and figure things out by experimenting with features.,I prefer to watch tutorials or read the manual step-by-step before using it.,P,J
Preparing a homemade dinner.,I like to experiment with ingredients and adjust the recipe as I go along.,I prefer to follow the exact measurements and instructions in a recipe.,JP,22,I like to experiment with ingredients and adjust the recipe as I go along.,I prefer to follow the exact measurements and instructions in a recipe.,True,correct,True,True,,False,True,i like to experiment with ingredients and adjust the recipe as i go along || i prefer to follow the exact measurements and instructions in a recipe,False,I like to experiment with ingredients and adjust the recipe as I go along.,I prefer to follow the exact measurements and instructions in a recipe.,P,J
Managing digital files on your computer.,I save files where it is convenient and use the search function to locate them.,I categorize files into a strict system of folders and subfolders immediately.,JP,23,I save files where it is convenient and use the search function to locate them.,I categorize files into a strict system of folders and subfolders immediately.,True,correct,True,True,,False,True,i categorize files into a strict system of folders and subfolders immediately || i save files where it is convenient and use the search function to locate them,False,I save files where it is convenient and use the search function to locate them.,I categorize files into a strict system of folders and subfolders immediately.,P,J
Attending a multi-day music festival.,I like to float between stages and discover new bands without a set plan.,I create a spreadsheet of set times so I do not miss my favorite artists.,JP,24,I like to float between stages and discover new bands without a set plan.,I create a spreadsheet of set times so I do not miss my favorite artists.,True,correct,True,True,,False,True,i create a spreadsheet of set times so i do not miss my favorite artists || i like to float between stages and discover new bands without a set plan,False,I like to float between stages and discover new bands without a set plan.,I create a spreadsheet of set times so I do not miss my favorite artists.,P,J
Renovating a spare bedroom.,I like to start the project and make design choices as the room takes shape.,I prefer to have a complete design plan and material list before starting.,JP,25,I like to start the project and make design choices as the room takes shape.,I prefer to have a complete design plan and material list before starting.,True,correct,True,True,,False,True,i like to start the project and make design choices as the room takes shape || i prefer to have a complete design plan and material list before starting,False,I like to start the project and make design choices as the room takes shape.,I prefer to have a complete design plan and material list before starting.,P,J
Managing a typical day at work.,I prefer to keep my calendar open so I can respond to spontaneous opportunities.,I block out specific times on my calendar for each planned task.,JP,26,I prefer to keep my calendar open so I can respond to spontaneous opportunities.,I block out specific times on my calendar for each planned task.,True,correct,True,True,,False,True,i block out specific times on my calendar for each planned task || i prefer to keep my calendar open so i can respond to spontaneous opportunities,False,I prefer to keep my calendar open so I can respond to spontaneous opportunities.,I block out specific times on my calendar for each planned task.,P,J
Spending a free day in a new city.,I love to walk around aimlessly and discover hidden gems on my own.,I prefer to plan a walking route that covers all the main landmarks.,JP,27,I love to walk around aimlessly and discover hidden gems on my own.,I prefer to plan a walking route that covers all the main landmarks.,True,correct,True,True,,False,True,i love to walk around aimlessly and discover hidden gems on my own || i prefer to plan a walking route that covers all the main landmarks,False,I love to walk around aimlessly and discover hidden gems on my own.,I prefer to plan a walking route that covers all the main landmarks.,P,J
Brainstorming ideas with a coworker.,I like to throw out random ideas and see how they connect organically.,I prefer to systematically go through a list of prompts or categories.,JP,28,I like to throw out random ideas and see how they connect organically.,I prefer to systematically go through a list of prompts or categories.,True,correct,True,True,,False,True,i like to throw out random ideas and see how they connect organically || i prefer to systematically go through a list of prompts or categories,False,I like to throw out random ideas and see how they connect organically.,I prefer to systematically go through a list of prompts or categories.,P,J
Buying a new laptop.,I browse the options in the store and buy the one that feels right.,I research specifications and compare models online for weeks before buying.,JP,29,I browse the options in the store and buy the one that feels right.,I research specifications and compare models online for weeks before buying.,True,correct,True,True,,False,True,i browse the options in the store and buy the one that feels right || i research specifications and compare models online for weeks before buying,False,I browse the options in the store and buy the one that feels right.,I research specifications and compare models online for weeks before buying.,P,J
Setting policies for a new team.,I prefer general guidelines that allow people to adapt to different situations.,"I prefer clear, documented rules that define exactly how situations should be handled.",JP,30,I prefer general guidelines that allow people to adapt to different situations.,"I prefer clear, documented rules that define exactly how situations should be handled.",True,correct,True,True,,False,True,i prefer clear documented rules that define exactly how situations should be handled || i prefer general guidelines that allow people to adapt to different situations,False,I prefer general guidelines that allow people to adapt to different situations.,"I prefer clear, documented rules that define exactly how situations should be handled.",P,J
Meeting friends on a Friday night.,I prefer to see where the night takes us and keep our options open.,I prefer to have a set plan for when and where we meet.,JP,31,I prefer to see where the night takes us and keep our options open.,I prefer to have a set plan for when and where we meet.,True,correct,True,True,,False,True,i prefer to have a set plan for when and where we meet || i prefer to see where the night takes us and keep our options open,False,I prefer to see where the night takes us and keep our options open.,I prefer to have a set plan for when and where we meet.,P,J
Planting a backyard garden.,I like to plant things where they seem to fit and adjust next season.,I draw a detailed layout grid indicating where every plant will go.,JP,32,I like to plant things where they seem to fit and adjust next season.,I draw a detailed layout grid indicating where every plant will go.,True,correct,True,True,,False,True,i draw a detailed layout grid indicating where every plant will go || i like to plant things where they seem to fit and adjust next season,False,I like to plant things where they seem to fit and adjust next season.,I draw a detailed layout grid indicating where every plant will go.,P,J
Assembling a large jigsaw puzzle.,I look for pieces that catch my eye and build random sections first.,I sort all the pieces by color and build the border first.,JP,33,I look for pieces that catch my eye and build random sections first.,I sort all the pieces by color and build the border first.,True,correct,True,True,,False,True,i look for pieces that catch my eye and build random sections first || i sort all the pieces by color and build the border first,False,I look for pieces that catch my eye and build random sections first.,I sort all the pieces by color and build the border first.,P,J
Reading a nonfiction book.,I skip around to chapters that interest me rather than reading in order.,"I read the book from front to back, page by page, in order.",JP,34,I skip around to chapters that interest me rather than reading in order.,"I read the book from front to back, page by page, in order.",True,correct,True,True,,False,True,i read the book from front to back page by page in order || i skip around to chapters that interest me rather than reading in order,False,I skip around to chapters that interest me rather than reading in order.,"I read the book from front to back, page by page, in order.",P,J
Managing monthly personal finances.,I track my spending loosely and adjust my habits if my balance gets low.,I allocate a strict budget limit for each category of spending every month.,JP,35,I track my spending loosely and adjust my habits if my balance gets low.,I allocate a strict budget limit for each category of spending every month.,True,correct,True,True,,False,True,i allocate a strict budget limit for each category of spending every month || i track my spending loosely and adjust my habits if my balance gets low,False,I track my spending loosely and adjust my habits if my balance gets low.,I allocate a strict budget limit for each category of spending every month.,P,J
Giving a presentation at a conference.,I use minimal notes and speak spontaneously based on the audience's reaction.,I write out my script and practice it multiple times beforehand.,JP,36,I use minimal notes and speak spontaneously based on the audience's reaction.,I write out my script and practice it multiple times beforehand.,True,correct,True,True,,False,True,i use minimal notes and speak spontaneously based on the audience s reaction || i write out my script and practice it multiple times beforehand,False,I use minimal notes and speak spontaneously based on the audience's reaction.,I write out my script and practice it multiple times beforehand.,P,J
Supervising employees on a task.,I give them the overall goal and let them figure out their own methods.,I provide step-by-step instructions and check-in times to monitor progress.,JP,37,I give them the overall goal and let them figure out their own methods.,I provide step-by-step instructions and check-in times to monitor progress.,True,correct,True,True,,False,True,i give them the overall goal and let them figure out their own methods || i provide step by step instructions and check in times to monitor progress,False,I give them the overall goal and let them figure out their own methods.,I provide step-by-step instructions and check-in times to monitor progress.,P,J
Finding a missing ingredient at the grocery store.,I quickly choose a substitute ingredient that looks like it will work fine.,I go to another store or change my dinner plans to get the exact item.,JP,38,I quickly choose a substitute ingredient that looks like it will work fine.,I go to another store or change my dinner plans to get the exact item.,True,correct,True,True,,False,True,i go to another store or change my dinner plans to get the exact item || i quickly choose a substitute ingredient that looks like it will work fine,False,I quickly choose a substitute ingredient that looks like it will work fine.,I go to another store or change my dinner plans to get the exact item.,P,J
Rearranging the living room furniture.,I physically move the heavy pieces around until I find a layout I like.,I measure the space and draw a layout plan before moving anything.,JP,39,I physically move the heavy pieces around until I find a layout I like.,I measure the space and draw a layout plan before moving anything.,True,correct,True,True,,False,True,i measure the space and draw a layout plan before moving anything || i physically move the heavy pieces around until i find a layout i like,False,I physically move the heavy pieces around until I find a layout I like.,I measure the space and draw a layout plan before moving anything.,P,J
